収集日,タイトル,URL,メモ,ステータス
2026-06-26,東京外国語大学の専攻言語教育について | お知らせ | TOPICS | 東京外国語大学,https://www.tufs.ac.jp/NEWS/notice/260623_1.html,2026.06.23 日頃より本学の教育・研究活動に多大なご理解とご協力をいただき、誠にありがとうございます。 現在、SNS等において、本学の言語教育体制、とりわけいわゆる「小規模語科」の体制や今後の生成AI等の活用方針について、様々なご心,未確認
2026-06-26,書評　「進化心理学概説」 - shorebird　進化心理学中心の書評など,https://shorebird.hatenablog.com/entry/2026/06/22/123817,進化心理学概説 作者:中西大輔ミネルヴァ書房Amazon 本書は進化心理学者である中西大輔による進化心理学の教科書になる．大学の授業用の講義ノートに加筆修正を加えて書き上げられたもので，1章が1回分（90分）の講義に相当する（全15コマのう,未確認
2026-06-26,ようやく長男の志望校が決まり、塾にも夏期講習にも大金を払ったのに、高校説明会に現れたオモロい工業高校の先生に会場の雰囲気を持っていかれ「ママ、おれ志望校変えようかな」と言い出して白目剥いてる,https://togetter.com/li/2713303,斉藤 ナミ｜エッセイスト @nami5711 ようやく長男の志望校が決まり、塾にも夏期講習にも大金を払ったのに、 今日実施された学校の高校説明会で、白メガネをかけたオモロい工業高校の先生に15分の持ち時間で会場の雰囲気を全部持っていかれ「マ,未確認
2026-06-26,東京外国語大学で何が起きている？　「マイナー言語」教育体制の縮小騒動　大切にしてほしい「存在意義」は：東京新聞デジタル,https://www.tokyo-np.co.jp/article/497156,世界各地の言語を学べる東京外国語大学で、マイナー言語の教育体制縮小が懸念されている。大学執行部に検討の動きがあるとして、一部の教員が抗議し、執行部側は「縮小は考えていない」とする声明を出し、火消しに追われた。教員たちが取材に応じ、学内で何が,未確認
2026-06-26,高1の生徒会長を「つるし上げ」　全校生徒の前で上級生　いじめ認定（朝日新聞） - Yahoo!ニュース,https://news.yahoo.co.jp/articles/4098e66a2ce9b7b394690a6a2a561d5cef94683e,長野県の県立高校で昨年11月、当時1年生だった生徒会長の女子生徒が、前生徒会役員の上級生らから全校生徒の前で「つるし上げにあった」と訴え、不登校になっていたことが分かった。県教育委員会はこの事案を「いじめ」と認定し、当時の上級生ら4人をいじ,未確認
2026-06-26,散々注意していたのに…するなと何度も言っていたのに…教育実習生が記念撮影した写真をSNSにあげる…「なんでいちいちSNSにアップするんだろ？」,https://togetter.com/li/2713266,タクト先生＠正論で切る教育侍🗡️保護者にリアルと責任を！！ @ikuji_takuto 散々、注意してたのに… するなと、何度も言っていたのに… 教育実習生… 記念撮影した写真をSNSにあげる… 2026-06-24 18:36:00 ゆに,未確認
2026-06-26,天王寺動物園に「ゾウ返せ」　祖国で署名17万筆、批判の背景は | 毎日新聞,https://mainichi.jp/articles/20260624/k00/00m/040/056000c,マレーシアから来日し、仲良く遊ぶ3頭のアジアゾウ＝大阪市の天王寺動物園で2026年4月21日午前10時52分、安徳祐撮影 「ゾウを返して」「俺たちのゾウをいじめるな」 マレーシアで今、日本に向けてそんな批判の声が広がっている。 きっかけは、,未確認
2026-06-26,ひなこのーとで有名な三月先生に7700円を払ってみた｜とっきー,https://note.com/556tan/n/n1a99eb8022f3,皆様は「ひなこのーと」を知っているだろうか？ コミックキューンで連載されていた4コマ漫画で テレビアニメ化もされた超人気作品である ちなみに俺は漫画もアニメも見た事ない だが、ひなこのーとを描いている三月先生については Twitterをタバ,未確認
2026-06-26,中学校勤務での修学旅行引率の際、お弁当に緑茶が付いていたのだが、飲まずに残す生徒の多さにびっくり…翌年、麦茶に変えたら見事に皆が飲んだ→様々な事情がありそう,https://togetter.com/li/2713409,🐘🍛🍧ちりりん🍧🍛🐘 @chililinchan @belle333_dream 昭和の人間ですけど、もし私が中学生だった頃に緑茶を出されてもなぁ〜って思ってたと思います 緑茶に抵抗はないですけど わざわざ緑茶じゃなくてもよくないですか？逆,未確認
2026-06-29,ABEMA TIMESが「理由なき不登校」を特集し様々な意見が集まるが、背景を知ると「理由なき」とは言えなかった「確かに学校に行けなくなる理由しかない」,https://togetter.com/li/2714919,ライブドアニュース @livedoornews 【告白】最近増えている「理由なき不登校」母親は子を尊重も“この先の不安”抱える news.livedoor.com/article/detail… 通えない理由は人間関係や学習への不安など様々,未確認
2026-06-29,ＡＩ節電へ「感謝控える」教育　道徳教材見直し提言,https://kyoko-np.net/2026062901.html,生成ＡＩの利用拡大で電力需要の増加が見込まれる問題について、経済産業省と文部科学省の合同諮問機関「ことばの省エネ検討委員会」は２８日、不要な感謝の抑制を柱とする提言案をまとめた。小中学校の道徳教材を通じて、無感謝の定着を図る。 生成ＡＩへの,未確認
2026-06-29,LGBT基本計画「女性や保護者の声も反映を」女性団体代表ら　「国民の安全ないがしろ」,https://www.sankei.com/article/20260629-RXD4TSEVFBHDXKVRPALUFH4ASA/,（左から）麗澤大の高橋史朗特別教授、女性の権利と尊厳を取り戻す会の青谷ゆかり共同代表、村松裕美甲府市議LGBT理解増進法に基づく初の基本計画が16日、閣議決定された。SOGI（性的指向と性自認）の多様性に関する教職員や行政職員への研修機会の,未確認
2026-06-29,恋愛漫画は大好きだけど、自分が大人になりすぎて「先生と生徒の恋愛はちょっと…」「義兄と義妹は…」となってしまい見られる漫画の幅が異世界モノしかなくなってる→そんな大人が今読んでる恋愛漫画は？,https://togetter.com/li/2714800,恋愛漫画は大好きだけど、自分が大人になりすぎて「先生と生徒の恋愛はちょっと…」「義兄と義妹は…」となってしまい見られる漫画の幅が異世界モノしかなくなってる→そんな大人が今読んでる恋愛漫画は？,未確認
2026-06-29,小学5年生のころに母親が蒸発したので父にご飯係を任命され1000円を握りしめてスーパーに行くも呆然としてた…店員に助けられて調理法と買い物の仕方を教えてもらった話,https://togetter.com/li/2714642,ヨーコ @fireyoko 小学校5年ぐらいの時母親が蒸発して父にご飯係を任命された 千円握りしめスーパーで呆然としてたら店員さんが声掛けしてくれて なら今日豚肉が安いし ニラはいつも安い 醤油と塩はお家にある？ ゴマ油美味しいよと調理法と,未確認
